index,table_id,table_name,download_URL,accessURL,data_format,last_update,dataset_id,dataset_name,frequency
24,555b6af2c751df4bb8190c7a,Exercice des droits indirect (données générales),,https://www.data.gouv.fr/datasets/555b6af2c751df4bb8190c7a/,,2023-06-28T10:03:27.303000,555b6af2c751df4bb8190c7a,exercice-des-droits-indirect-donnees-generales,annual
25,c7233d42-5450-4802-95e4-36cd543154a4,opencnil-volumes-dai-edi-depuis-1984-maj-juin-2023.csv,https://static.data.gouv.fr/resources/exercice-des-droits-indirect-donnees-generales/20230628-100320/opencnil-volumes-dai-edi-depuis-1984-maj-juin-2023.csv,https://www.data.gouv.fr/datasets/555b6af2c751df4bb8190c7a/#resource-c7233d42-5450-4802-95e4-36cd543154a4,csv,2023-06-28T10:03:27.285000,555b6af2c751df4bb8190c7a,exercice-des-droits-indirect-donnees-generales,annual
26,eab9bca1-e38e-4d0e-9a4e-d63c9d12347d,opencnil-volumes-dai-edi-depuis-1984-maj-juin-2023.xlsx,https://static.data.gouv.fr/resources/exercice-des-droits-indirect-donnees-generales/20230628-100221/opencnil-volumes-dai-edi-depuis-1984-maj-juin-2023.xlsx,https://www.data.gouv.fr/datasets/555b6af2c751df4bb8190c7a/#resource-eab9bca1-e38e-4d0e-9a4e-d63c9d12347d,xlsx,2023-06-28T10:02:29.507000,555b6af2c751df4bb8190c7a,exercice-des-droits-indirect-donnees-generales,annual
27,555b4d3dc751df496d190c78,Budget de la CNIL,,https://www.data.gouv.fr/datasets/555b4d3dc751df496d190c78/,,2023-06-28T09:36:31.491000,555b4d3dc751df496d190c78,budget-de-la-cnil-1,annual
28,bfdccb1c-6451-48af-a0d2-ab463bb6e7e7,opencnil-budget-depuis-2000-maj-juin-2023.csv,https://static.data.gouv.fr/resources/budget-de-la-cnil-1/20230628-093624/opencnil-budget-depuis-2000-maj-juin-2023.csv,https://www.data.gouv.fr/datasets/555b4d3dc751df496d190c78/#resource-bfdccb1c-6451-48af-a0d2-ab463bb6e7e7,csv,2023-06-28T09:36:31.470000,555b4d3dc751df496d190c78,budget-de-la-cnil-1,annual
29,50b040ea-569a-4d53-8a2d-83013a6f723f,opencnil-budget-depuis-2000-maj-juin-2023.xlsx,https://static.data.gouv.fr/resources/budget-de-la-cnil-1/20230628-093536/opencnil-budget-depuis-2000-maj-juin-2023.xlsx,https://www.data.gouv.fr/datasets/555b4d3dc751df496d190c78/#resource-50b040ea-569a-4d53-8a2d-83013a6f723f,xlsx,2023-06-28T09:35:45.591000,555b4d3dc751df496d190c78,budget-de-la-cnil-1,annual
30,555b5347c751df49c8190c79,Effectifs de la CNIL,,https://www.data.gouv.fr/datasets/555b5347c751df49c8190c79/,,2023-06-28T09:34:40.715000,555b5347c751df49c8190c79,effectifs-de-la-cnil,annual
31,b8ba80b6-e558-46d5-8e53-af9b65348b63,opencnil-effectifs-depuis-1980-maj-juin-2023.xlsx,https://static.data.gouv.fr/resources/effectifs-de-la-cnil/20230628-093430/opencnil-effectifs-depuis-1980-maj-juin-2023.xlsx,https://www.data.gouv.fr/datasets/555b5347c751df49c8190c79/#resource-b8ba80b6-e558-46d5-8e53-af9b65348b63,xlsx,2023-06-28T09:34:40.681000,555b5347c751df49c8190c79,effectifs-de-la-cnil,annual
32,50efdf95-7d6e-489c-a3ad-ad14243e6e24,opencnil-effectifs-depuis-1980-maj-juin-2023.csv,https://static.data.gouv.fr/resources/effectifs-de-la-cnil/20230628-093405/opencnil-effectifs-depuis-1980-maj-juin-2023.csv,https://www.data.gouv.fr/datasets/555b5347c751df49c8190c79/#resource-50efdf95-7d6e-489c-a3ad-ad14243e6e24,csv,2023-06-28T09:34:11.705000,555b5347c751df49c8190c79,effectifs-de-la-cnil,annual
33,555b616ec751df4bb2190c78,Plaintes reçues par la CNIL,,https://www.data.gouv.fr/datasets/555b616ec751df4bb2190c78/,,2023-06-28T08:36:12.428000,555b616ec751df4bb2190c78,plaintes-recues-par-la-cnil,annual
